[('email', 'job_china@cadence.com'), ('发帖时间', '2017/07/07 16:45'), ('标题', 'Cadence北京研发中心招聘C++软件工程师'), ('电话', '')]
[('email', 'hf@saif.sjtu.edu'), ('发帖时间', '2017/07/07 10:44'), ('标题', '【实习】上海高级金融学院对冲基金项目助研'), ('电话', '')]
[('email', 'recruit@sitc.net.cn'), ('发帖时间', '2017/07/07 10:34'), ('标题', '【全职】上海信息化培训中心招IT管理培训专员'), ('电话', '')]
[('email', 'annie.zhang@astoncarter.com'), ('发帖时间', '2017/07/07 10:19'), ('标题', '【实习】Allegis Group Finance intern150/天'), ('电话', '')]
[('email', 'annie.zhang@astoncarter.com'), ('发帖时间', '2017/07/07 10:18'), ('标题', '【实习】Allegis Group Finance intern150/天'), ('电话', '')]
[('email', 'annie.zhang@astoncarter.com'), ('发帖时间', '2017/07/07 10:15'), ('标题', '【实习】Allegis Group Finance intern150/天'), ('电话', '')]
[('email', 'intern@jfbiomed.com.cn'), ('发帖时间', '2017/07/07 10:08'), ('标题', '【实习】想实习想学习，来交复科研(10分钟路程)'), ('电话', '18365232036')]
[('email', 'bingsheng@aliyun.com'), ('发帖时间', '2017/07/07 10:08'), ('标题', '【全职】上海秉盛投资招聘研究员、交易员、行政'), ('电话', '')]
[('email', 'hr@econtek.cn'), ('发帖时间', '2017/07/07 09:43'), ('标题', '【实习/兼职】上海念通智能诚聘Android工程师'), ('电话', '')]
[('email', 'hr@econtek.cn'), ('发帖时间', '2017/07/07 09:42'), ('标题', '【实习/兼职】上海念通智能诚聘电子工程师'), ('电话', '')]
[('email', 'tianlx@xds.com.cn'), ('发帖时间', '2017/07/07 09:39'), ('标题', '【实习】上海迈维资产招聘实习量化研究员'), ('电话', '')]
[('email', 'jobs@ezfintel.com'), ('发帖时间', '2017/07/07 05:28'), ('标题', '[全职]融弈数智(交大校友startup)诚聘母校学子'), ('电话', '')]
[('email', 'maxiao@xsdzq.cn'), ('发帖时间', '2017/07/06 23:51'), ('标题', '新时代证券研究所招募传媒互联网行业实习生'), ('电话', '')]
[('email', 'hena@jianpaper.com'), ('发帖时间', '2017/07/06 23:45'), ('标题', '【实习】山鹰纸业股份有限公司上海总部暑期实习'), ('电话', '')]
[('email', 'shirleen.tan@bmturbosystems.com'), ('发帖时间', '2017/07/06 22:43'), ('标题', '【博世马勒暑期实习】BMTS(上海)招聘暑期实习生'), ('电话', '')]
[('email', 'xi.qiao@jianmeng.org.cn'), ('发帖时间', '2017/07/06 21:28'), ('标题', '【全职/实习】健盟招聘市场助理'), ('电话', '')]
[('email', 'hf_zhaopin@126.com'), ('发帖时间', '2017/07/06 20:35'), ('标题', '【实习】招募深度学习研究员'), ('电话', '')]
[('email', 'htamcquant@163.com'), ('发帖时间', '2017/07/06 18:31'), ('标题', '【实习】海通资管量化投资部实习生招聘'), ('电话', '')]
[('email', 'lili_bao@gtfund.com'), ('发帖时间', '2017/07/06 18:18'), ('标题', '【实习岗位】国泰基金渠道业务部实习生'), ('电话', '')]
[('email', 'lili_bao@gtfund.com'), ('发帖时间', '2017/07/06 18:17'), ('标题', '【实习岗位】国泰基金销售管理部实习生'), ('电话', '')]
[('email', 'cola.kan@akunacapital.com'), ('发帖时间', '2017/07/06 17:48'), ('标题', '【招聘】C++ 开发工程师（ 中/高级）-交易系统'), ('电话', '')]
[('email', 'eliya@live.cn'), ('发帖时间', '2017/07/06 17:03'), ('标题', '[全职]思科招聘信息安全工程师'), ('电话', '')]
[('email', 'devon100@sina.com'), ('发帖时间', '2017/07/06 17:00'), ('标题', '【实习】中信证券研究部轻工造纸行业实习生招聘'), ('电话', '')]
